month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202106,13350,"herkimer, ny",*,129900,0.0834,,31,0.069,0.0333,258.5,0.13876652,,4,-0.5,0,0,,,0,-1,-1,43,0.0238,0.7917,74.07407407,0.0369,0.5767,1584,-0.01,0.019,164851.9062,-0.0141,0.5578,74,0.0423,0.3704,1.387096774,-0.0612,0.5871
202106,15057,"mcdonald, pa",*,402400,-0.0183,0.1028,24,0.2,-0.5102,35,-0.426229508,,20,0.25,0.25,0,,,8,1,-0.6,35,-0.0541,-0.3137,138.8540875,-0.057,0.0611,1682,-0.1147,-0.0572,428558.6039,-0.1119,-0.0076,59,0.0351,-0.41,1.458333333,-0.3917,0.4175
202106,48323,"west bloomfield, mi",,576500,0.1553,0.1532,40,0.2121,-0.4937,21.5,-0.065217391,-0.283333333,36,0.125,-0.3571,0,,,16,3,0,7,0,0,210.9821345,0.1264,0.2518,2733.5,0.0124,-0.1319,1022404.947,-0.0292,0.2531,47,0.175,-0.4535,0.175,-0.0371,0.0864
202106,92064,"poway, ca",,1187500,0.0371,0.1485,47,0.175,-0.0408,23,-0.258064516,-0.465116279,64,0.0667,0.4545,0,-1,,8,1,-0.3333,79,0.026,0.2344,498.2813446,0.0169,0.2429,2307.5,0.0311,-0.1615,1550531.449,0.0129,0.145,126,0.0769,0.115,1.680851064,-0.2441,0.3747
202106,77003,"houston, tx",*,392450,-0.0405,,62,-0.0313,,41,0.322580645,,48,0.2,0.2,0,-1,,12,0.5,-0.25,45,-0.3478,0.0976,202.0276123,0.0004,0.0214,2020,0,0.029,400957.6649,0.0191,0.0596,107,-0.1955,-0.3354,0.725806452,-0.3523,0.3841
202106,38106,"memphis, tn",*,61950,0.0888,,27,-0.2286,,44,0.189189189,-0.519125683,16,-0.2,0.3333,0,,,0,-1,-1,31,0.55,0.4762,0,,,0,,,66981.37931,0.1279,0.5134,58,0.0545,-0.0492,1.148148148,0.5767,0.6231
202106,7648,"norwood, nj",*,1014000,-0.0782,0.4302,14,0.2727,,18,-0.142857143,-0.660377358,12,0.5,0.5,0,,,0,,-1,0,,-1,0,,,0,,,1011957.086,-0.034,0.1458,14,0.2727,-0.5882,0,0,-0.0303
202106,29707,"fort mill, sc",*,479999.5,0.0367,,37,0.1563,,22.5,-0.02173913,,40,-0.2308,-0.5455,4,,-0.6667,8,0,-0.8571,70,0.1111,-0.3694,183.5200132,0.0749,0.2926,2759,0.0143,0.0022,600995.4275,0.0745,0.3706,107,0.1263,-0.5947,1.891891892,-0.0769,1.1664
202106,90808,"long beach, ca",,921500,0.0366,0.1447,31,0.1923,0.1923,16,0,-0.507692308,52,0.3,0.3,0,,,8,1,1,59,0.1346,0,568.2125122,0.014,0.23,1622,0.0377,-0.0328,950213.4634,0.011,0.1674,90,0.1538,0.0588,1.903225806,-0.0968,-0.366
202106,36274,"roanoke, al",*,148450,-0.1003,0.0703,20,-0.0909,,79.5,0.223076923,-0.260465116,12,2,2,0,,,0,-1,-1,13,-0.1333,0.8571,68.22427952,0.082,-0.171,1715,0.1722,-0.0654,178218.8485,-0.0965,0.0567,33,-0.1081,0,0.65,-0.0318,0.3808
